2022-11-06 01:05:04 - r - INFO: - n_states: 4, n_actions: 9
2022-11-06 01:05:04 - r - INFO: - Start training!
2022-11-06 01:05:04 - r - INFO: - Env: Racetrack-v0, Algorithm: FirstVisitMC, Device: cpu
2022-11-06 01:13:55 - r - INFO: - Episode: 40/200, Reward: -370.000, Step: 200
2022-11-06 01:14:09 - r - INFO: - Episode: 41/200, Reward: -400.000, Step: 200
2022-11-06 01:14:26 - r - INFO: - Episode: 42/200, Reward: -410.000, Step: 200
2022-11-06 01:14:40 - r - INFO: - Episode: 43/200, Reward: -360.000, Step: 200
2022-11-06 01:14:40 - r - INFO: - Episode: 44/200, Reward: -16.000, Step: 16
2022-11-06 01:14:40 - r - INFO: - Episode: 45/200, Reward: -23.000, Step: 13
2022-11-06 01:14:52 - r - INFO: - Episode: 46/200, Reward: -390.000, Step: 200
2022-11-06 01:15:08 - r - INFO: - Episode: 47/200, Reward: -390.000, Step: 200
2022-11-06 01:15:09 - r - INFO: - Episode: 48/200, Reward: -109.000, Step: 79
2022-11-06 01:15:22 - r - INFO: - Episode: 49/200, Reward: -300.000, Step: 200
2022-11-06 01:15:39 - r - INFO: - Episode: 50/200, Reward: -370.000, Step: 200
2022-11-06 01:15:55 - r - INFO: - Episode: 51/200, Reward: -460.000, Step: 200
2022-11-06 01:16:11 - r - INFO: - Episode: 52/200, Reward: -350.000, Step: 200
2022-11-06 01:16:23 - r - INFO: - Episode: 53/200, Reward: -320.000, Step: 200
2022-11-06 01:16:32 - r - INFO: - Episode: 54/200, Reward: -310.000, Step: 200
2022-11-06 01:16:47 - r - INFO: - Episode: 55/200, Reward: -390.000, Step: 200
2022-11-06 01:17:01 - r - INFO: - Episode: 56/200, Reward: -370.000, Step: 200
2022-11-06 01:17:19 - r - INFO: - Episode: 57/200, Reward: -390.000, Step: 200
2022-11-06 01:17:34 - r - INFO: - Episode: 58/200, Reward: -350.000, Step: 200
2022-11-06 01:17:35 - r - INFO: - Episode: 59/200, Reward: -123.000, Step: 73
2022-11-06 01:17:39 - r - INFO: - Episode: 60/200, Reward: -204.000, Step: 124
2022-11-06 01:17:40 - r - INFO: - Episode: 61/200, Reward: -39.000, Step: 29
2022-11-06 01:17:41 - r - INFO: - Episode: 62/200, Reward: -155.000, Step: 85
2022-11-06 01:17:42 - r - INFO: - Episode: 63/200, Reward: -108.000, Step: 58
2022-11-06 01:17:49 - r - INFO: - Episode: 64/200, Reward: -249.000, Step: 169
2022-11-06 01:17:51 - r - INFO: - Episode: 65/200, Reward: -170.000, Step: 100
2022-11-06 01:17:51 - r - INFO: - Current episode 65 has the best eval reward: -181.800
2022-11-06 01:17:51 - r - INFO: - Episode: 66/200, Reward: 1.000, Step: 9
2022-11-06 01:17:51 - r - INFO: - Episode: 67/200, Reward: -23.000, Step: 23
2022-11-06 01:17:52 - r - INFO: - Episode: 68/200, Reward: -104.000, Step: 74
2022-11-06 01:17:56 - r - INFO: - Episode: 69/200, Reward: -223.000, Step: 123
2022-11-06 01:18:11 - r - INFO: - Episode: 70/200, Reward: -350.000, Step: 200
2022-11-06 01:18:13 - r - INFO: - Episode: 71/200, Reward: -124.000, Step: 104
2022-11-06 01:18:13 - r - INFO: - Episode: 72/200, Reward: -20.000, Step: 20
2022-11-06 01:18:26 - r - INFO: - Episode: 73/200, Reward: -360.000, Step: 200
2022-11-06 01:18:26 - r - INFO: - Episode: 74/200, Reward: -67.000, Step: 37
2022-11-06 01:18:40 - r - INFO: - Episode: 75/200, Reward: -360.000, Step: 200
2022-11-06 01:18:41 - r - INFO: - Episode: 76/200, Reward: -71.000, Step: 41
2022-11-06 01:18:41 - r - INFO: - Episode: 77/200, Reward: -23.000, Step: 23
2022-11-06 01:18:41 - r - INFO: - Episode: 78/200, Reward: -41.000, Step: 21
2022-11-06 01:18:41 - r - INFO: - Episode: 79/200, Reward: -1.000, Step: 11
2022-11-06 01:18:50 - r - INFO: - Episode: 80/200, Reward: -270.000, Step: 200
2022-11-06 01:18:50 - r - INFO: - Current episode 80 has the best eval reward: -163.100
2022-11-06 01:19:02 - r - INFO: - Episode: 81/200, Reward: -330.000, Step: 200
2022-11-06 01:19:10 - r - INFO: - Episode: 82/200, Reward: -290.000, Step: 200
2022-11-06 01:19:11 - r - INFO: - Episode: 83/200, Reward: -2.000, Step: 12
2022-11-06 01:19:25 - r - INFO: - Episode: 84/200, Reward: -300.000, Step: 200
2022-11-06 01:19:37 - r - INFO: - Episode: 85/200, Reward: -380.000, Step: 200
2022-11-06 01:19:37 - r - INFO: - Episode: 86/200, Reward: -47.000, Step: 37
2022-11-06 01:19:53 - r - INFO: - Episode: 87/200, Reward: -350.000, Step: 200
2022-11-06 01:20:04 - r - INFO: - Episode: 88/200, Reward: -308.000, Step: 188
2022-11-06 01:20:21 - r - INFO: - Episode: 89/200, Reward: -370.000, Step: 200
2022-11-06 01:20:27 - r - INFO: - Episode: 90/200, Reward: -214.000, Step: 154
2022-11-06 01:20:43 - r - INFO: - Episode: 91/200, Reward: -290.000, Step: 200
2022-11-06 01:21:00 - r - INFO: - Episode: 92/200, Reward: -370.000, Step: 200
2022-11-06 01:21:01 - r - INFO: - Episode: 93/200, Reward: -32.000, Step: 22
2022-11-06 01:21:21 - r - INFO: - Episode: 94/200, Reward: -400.000, Step: 200
2022-11-06 01:21:25 - r - INFO: - Episode: 95/200, Reward: -217.000, Step: 127
2022-11-06 01:21:41 - r - INFO: - Episode: 96/200, Reward: -330.000, Step: 200
2022-11-06 01:21:55 - r - INFO: - Episode: 97/200, Reward: -380.000, Step: 200
2022-11-06 01:22:16 - r - INFO: - Episode: 98/200, Reward: -320.000, Step: 200
2022-11-06 01:22:32 - r - INFO: - Episode: 99/200, Reward: -300.000, Step: 200
2022-11-06 01:22:46 - r - INFO: - Episode: 100/200, Reward: -350.000, Step: 200
2022-11-06 01:23:00 - r - INFO: - Episode: 101/200, Reward: -400.000, Step: 200
2022-11-06 01:23:11 - r - INFO: - Episode: 102/200, Reward: -330.000, Step: 200
2022-11-06 01:23:29 - r - INFO: - Episode: 103/200, Reward: -360.000, Step: 200
2022-11-06 01:23:45 - r - INFO: - Episode: 104/200, Reward: -380.000, Step: 200
2022-11-06 01:24:06 - r - INFO: - Episode: 105/200, Reward: -400.000, Step: 200
2022-11-06 01:24:16 - r - INFO: - Episode: 106/200, Reward: -290.000, Step: 200
2022-11-06 01:24:19 - r - INFO: - Episode: 107/200, Reward: -203.000, Step: 103
2022-11-06 01:24:19 - r - INFO: - Episode: 108/200, Reward: -74.000, Step: 54
2022-11-06 01:24:36 - r - INFO: - Episode: 109/200, Reward: -330.000, Step: 200
2022-11-06 01:24:54 - r - INFO: - Episode: 110/200, Reward: -380.000, Step: 200
2022-11-06 01:25:03 - r - INFO: - Episode: 111/200, Reward: -263.000, Step: 173
2022-11-06 01:25:20 - r - INFO: - Episode: 112/200, Reward: -290.000, Step: 200
2022-11-06 01:25:34 - r - INFO: - Episode: 113/200, Reward: -340.000, Step: 200
2022-11-06 01:25:34 - r - INFO: - Episode: 114/200, Reward: -86.000, Step: 66
2022-11-06 01:25:50 - r - INFO: - Episode: 115/200, Reward: -340.000, Step: 200
2022-11-06 01:25:52 - r - INFO: - Episode: 116/200, Reward: -160.000, Step: 110
2022-11-06 01:26:07 - r - INFO: - Episode: 117/200, Reward: -340.000, Step: 200
2022-11-06 01:26:15 - r - INFO: - Episode: 118/200, Reward: -320.000, Step: 200
2022-11-06 01:26:29 - r - INFO: - Episode: 119/200, Reward: -320.000, Step: 200
2022-11-06 01:26:43 - r - INFO: - Episode: 120/200, Reward: -360.000, Step: 200
2022-11-06 01:26:56 - r - INFO: - Episode: 121/200, Reward: -330.000, Step: 200
2022-11-06 01:27:09 - r - INFO: - Episode: 122/200, Reward: -350.000, Step: 200
2022-11-06 01:27:25 - r - INFO: - Episode: 123/200, Reward: -300.000, Step: 200
2022-11-06 01:27:38 - r - INFO: - Episode: 124/200, Reward: -320.000, Step: 200
2022-11-06 01:27:39 - r - INFO: - Episode: 125/200, Reward: -70.000, Step: 40
2022-11-06 01:27:39 - r - INFO: - Episode: 126/200, Reward: -59.000, Step: 39
2022-11-06 01:27:55 - r - INFO: - Episode: 127/200, Reward: -340.000, Step: 200
2022-11-06 01:27:56 - r - INFO: - Episode: 128/200, Reward: -87.000, Step: 77
2022-11-06 01:28:13 - r - INFO: - Episode: 129/200, Reward: -330.000, Step: 200
2022-11-06 01:28:22 - r - INFO: - Episode: 130/200, Reward: -260.000, Step: 200
2022-11-06 01:28:38 - r - INFO: - Episode: 131/200, Reward: -290.000, Step: 200
2022-11-06 01:28:57 - r - INFO: - Episode: 132/200, Reward: -330.000, Step: 200
2022-11-06 01:29:07 - r - INFO: - Episode: 133/200, Reward: -340.000, Step: 200
2022-11-06 01:29:08 - r - INFO: - Episode: 134/200, Reward: -78.000, Step: 48
2022-11-06 01:29:23 - r - INFO: - Episode: 135/200, Reward: -390.000, Step: 200
2022-11-06 01:29:33 - r - INFO: - Episode: 136/200, Reward: -320.000, Step: 200
2022-11-06 01:29:51 - r - INFO: - Episode: 137/200, Reward: -360.000, Step: 200
2022-11-06 01:30:06 - r - INFO: - Episode: 138/200, Reward: -340.000, Step: 200
2022-11-06 01:30:10 - r - INFO: - Episode: 139/200, Reward: -185.000, Step: 115
2022-11-06 01:30:26 - r - INFO: - Episode: 140/200, Reward: -340.000, Step: 200
2022-11-06 01:30:43 - r - INFO: - Episode: 141/200, Reward: -250.000, Step: 200
2022-11-06 01:30:57 - r - INFO: - Episode: 142/200, Reward: -347.000, Step: 197
2022-11-06 01:31:11 - r - INFO: - Episode: 143/200, Reward: -320.000, Step: 200
2022-11-06 01:31:25 - r - INFO: - Episode: 144/200, Reward: -330.000, Step: 200
2022-11-06 01:31:37 - r - INFO: - Episode: 145/200, Reward: -270.000, Step: 200
2022-11-06 01:31:55 - r - INFO: - Episode: 146/200, Reward: -380.000, Step: 200
2022-11-06 01:32:10 - r - INFO: - Episode: 147/200, Reward: -320.000, Step: 200
2022-11-06 01:32:27 - r - INFO: - Episode: 148/200, Reward: -340.000, Step: 200
2022-11-06 01:32:38 - r - INFO: - Episode: 149/200, Reward: -310.000, Step: 200
2022-11-06 01:32:57 - r - INFO: - Episode: 150/200, Reward: -290.000, Step: 200
2022-11-06 01:33:10 - r - INFO: - Episode: 151/200, Reward: -380.000, Step: 200
2022-11-06 01:33:21 - r - INFO: - Episode: 152/200, Reward: -281.000, Step: 181
2022-11-06 01:33:21 - r - INFO: - Episode: 153/200, Reward: -30.000, Step: 30
2022-11-06 01:33:33 - r - INFO: - Episode: 154/200, Reward: -280.000, Step: 200
2022-11-06 01:33:45 - r - INFO: - Episode: 155/200, Reward: -300.000, Step: 200
2022-11-06 01:33:59 - r - INFO: - Episode: 156/200, Reward: -300.000, Step: 200
2022-11-06 01:34:10 - r - INFO: - Episode: 157/200, Reward: -300.000, Step: 200
2022-11-06 01:34:28 - r - INFO: - Episode: 158/200, Reward: -370.000, Step: 200
2022-11-06 01:34:45 - r - INFO: - Episode: 159/200, Reward: -320.000, Step: 200
2022-11-06 01:34:52 - r - INFO: - Episode: 160/200, Reward: -250.000, Step: 200
2022-11-06 01:35:04 - r - INFO: - Episode: 161/200, Reward: -370.000, Step: 200
2022-11-06 01:35:16 - r - INFO: - Episode: 162/200, Reward: -290.000, Step: 200
2022-11-06 01:35:31 - r - INFO: - Episode: 163/200, Reward: -320.000, Step: 200
2022-11-06 01:35:41 - r - INFO: - Episode: 164/200, Reward: -290.000, Step: 200
2022-11-06 01:35:41 - r - INFO: - Episode: 165/200, Reward: -44.000, Step: 44
2022-11-06 01:35:53 - r - INFO: - Episode: 166/200, Reward: -216.000, Step: 196
2022-11-06 01:36:06 - r - INFO: - Episode: 167/200, Reward: -340.000, Step: 200
2022-11-06 01:36:23 - r - INFO: - Episode: 168/200, Reward: -360.000, Step: 200
2022-11-06 01:36:38 - r - INFO: - Episode: 169/200, Reward: -310.000, Step: 200
2022-11-06 01:36:51 - r - INFO: - Episode: 170/200, Reward: -320.000, Step: 200
2022-11-06 01:37:08 - r - INFO: - Episode: 171/200, Reward: -280.000, Step: 200
2022-11-06 01:37:17 - r - INFO: - Episode: 172/200, Reward: -290.000, Step: 200
2022-11-06 01:37:33 - r - INFO: - Episode: 173/200, Reward: -280.000, Step: 200
2022-11-06 01:37:45 - r - INFO: - Episode: 174/200, Reward: -300.000, Step: 200
2022-11-06 01:38:02 - r - INFO: - Episode: 175/200, Reward: -350.000, Step: 200
2022-11-06 01:38:17 - r - INFO: - Episode: 176/200, Reward: -320.000, Step: 200
2022-11-06 01:38:31 - r - INFO: - Episode: 177/200, Reward: -320.000, Step: 200
2022-11-06 01:38:47 - r - INFO: - Episode: 178/200, Reward: -320.000, Step: 200
2022-11-06 01:39:03 - r - INFO: - Episode: 179/200, Reward: -300.000, Step: 200
2022-11-06 01:39:04 - r - INFO: - Episode: 180/200, Reward: -117.000, Step: 87
2022-11-06 01:39:06 - r - INFO: - Episode: 181/200, Reward: -158.000, Step: 88
2022-11-06 01:39:23 - r - INFO: - Episode: 182/200, Reward: -300.000, Step: 200
2022-11-06 01:39:34 - r - INFO: - Episode: 183/200, Reward: -290.000, Step: 200
2022-11-06 01:39:51 - r - INFO: - Episode: 184/200, Reward: -350.000, Step: 200
2022-11-06 01:40:09 - r - INFO: - Episode: 185/200, Reward: -310.000, Step: 200
2022-11-06 01:40:10 - r - INFO: - Episode: 186/200, Reward: -58.000, Step: 38
2022-11-06 01:40:26 - r - INFO: - Episode: 187/200, Reward: -290.000, Step: 200
2022-11-06 01:40:42 - r - INFO: - Episode: 188/200, Reward: -310.000, Step: 200
2022-11-06 01:40:57 - r - INFO: - Episode: 189/200, Reward: -350.000, Step: 200
2022-11-06 01:41:12 - r - INFO: - Episode: 190/200, Reward: -300.000, Step: 200
2022-11-06 01:41:32 - r - INFO: - Episode: 191/200, Reward: -380.000, Step: 200
2022-11-06 01:41:37 - r - INFO: - Episode: 192/200, Reward: -230.000, Step: 200
2022-11-06 01:41:37 - r - INFO: - Episode: 193/200, Reward: -26.000, Step: 26
2022-11-06 01:41:56 - r - INFO: - Episode: 194/200, Reward: -340.000, Step: 200
2022-11-06 01:42:09 - r - INFO: - Episode: 195/200, Reward: -280.000, Step: 200
2022-11-06 01:42:10 - r - INFO: - Episode: 196/200, Reward: -106.000, Step: 66
2022-11-06 01:42:10 - r - INFO: - Episode: 197/200, Reward: -7.000, Step: 17
2022-11-06 01:42:20 - r - INFO: - Episode: 198/200, Reward: -248.000, Step: 178
2022-11-06 01:42:22 - r - INFO: - Episode: 199/200, Reward: -161.000, Step: 101
2022-11-06 01:42:22 - r - INFO: - Episode: 200/200, Reward: -3.000, Step: 13
2022-11-06 01:42:22 - r - INFO: - Finish training!
